year,month,lat,lng,probability,spread
0,4,14,87,0.00039,5
0,4,14,88,0.0083,10
0,4,14,89,0.01029,17
0,4,14,90,0.01658,26
0,4,14,91,0.027,37
0,4,14,92,0.00784,50
0,4,14,93,0.04504,65
0,4,14,94,0.00156,82
0,4,15,81,0.00033,16
0,4,15,82,0.00046,9
0,4,15,83,0.00886,4
0,4,15,84,0.00221,1
0,4,15,85,0.02105,0
0,4,15,86,0.02635,1
0,4,15,87,0.00765,4
0,4,15,88,0.01704,9
0,4,15,89,0.0139,16
0,4,15,90,0.02862,25
0,4,15,91,0.02094,36
0,4,15,92,0.0102,49
0,4,15,93,0.00126,64
0,4,15,94,0.00076,81
0,4,15,95,0.00057,100
0,4,16,82,0.00107,10
0,4,16,83,0.00218,5
0,4,16,84,0.00604,2
0,4,16,85,0.05743,1
0,4,16,86,0.02446,2
0,4,16,87,0.01304,5
0,4,16,88,0.01332,10
0,4,16,89,0.00525,17
0,4,16,90,0.00347,26
0,4,16,91,0.01413,37
0,4,16,92,0.00628,50
